Company,Model,Variant,Ex-Showroom_Price,Energy_source(cc/kwh),Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Type,Seating_Capacity,Seats_Material,Cylinders,Cylinder_Configuration,Engine_Location,Height,Length,Width,Body_Type,Power_Value,Power_Unit,Power_RPM,Torque_Value,Torque_Unit,Torque_RPM_Min
Mahindra,Xuv500,W9 At,1710118,2179,FWD (Front Wheel Drive),70.0,Diesel,Automatic,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W11,1716319,2179,FWD (Front Wheel Drive),70.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W11 At,1837586,2179,FWD (Front Wheel Drive),70.0,Diesel,Automatic,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W11 (O),1741319,2179,FWD (Front Wheel Drive),70.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W11 (O) At,1862586,2179,FWD (Front Wheel Drive),70.0,Diesel,Automatic,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W11 (O) Awd,1852488,2179,AWD (All Wheel Drive),70.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W11 (O) Awd At,1973664,2179,AWD (All Wheel Drive),70.0,Diesel,Automatic,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W3,1230924,2179,FWD (Front Wheel Drive),70.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,360.0,NM,1750.0
Mahindra,E Verito,D4,1293214,18,FWD (Front Wheel Drive),0.0,Electric,Automatic,5,Fabric,0,No Config,No Engine,1540,4247,1740,Sedan,41,PS,3500.0,91.0,NM,3000.0
Mahindra,E Verito,D2,1267208,18,FWD (Front Wheel Drive),0.0,Electric,Automatic,5,Fabric,0,No Config,No Engine,1540,4247,1740,Sedan,41,PS,3500.0,91.0,NM,3000.0
Mahindra,E Verito,D6,1303241,18,FWD (Front Wheel Drive),0.0,Electric,Automatic,5,Fabric,0,No Config,No Engine,1540,4247,1740,Sedan,41,PS,3500.0,91.0,NM,3000.0
Tata,Hexa,Xm Plus 4X2,1639374,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,156,PS,4000.0,400.0,NM,1700.0
Tata,Hexa,Xt 4X4,1929417,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,6,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,156,PS,4000.0,320.0,NM,1700.0
Tata,Hexa,Xta 4X2,1912593,2179,AWD (All Wheel Drive),60.0,Diesel,Automatic,6,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,156,PS,4000.0,400.0,NM,1700.0
Tata,Hexa,Xt 4X2,1796458,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,6,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,156,PS,4000.0,400.0,NM,1700.0
Tata,Hexa,Xe 4X2,1371864,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,150,PS,4000.0,320.0,NM,1700.0
Tata,Hexa,Xm 4X2,1531377,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,156,PS,4000.0,400.0,NM,1700.0
Tata,Hexa,Xma 4X2,1655587,2179,RWD (Rear Wheel Drive),60.0,Diesel,Automatic,7,Fabric,4,In-line,"Front, Transverse",1791,4788,1903,SUV,156,PS,4000.0,400.0,NM,1700.0
Toyota,Innova Crysta,2.4 Gx 7 Str,1605000,2393,RWD (Rear Wheel Drive),55.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
Toyota,Innova Crysta,2.4 Vx 7 Str,1927000,2393,RWD (Rear Wheel Drive),55.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
